1901,新北市,12099,其他鯛,94,26005.7375
1901,新北市,12099,其他鯛,95,9637.5
1901,新北市,12099,其他鯛,96,3606.3
1901,新北市,12099,其他鯛,97,4796.925
1901,新北市,12099,其他鯛,98,8113.8
1901,新北市,12099,其他鯛,99,5384.05
1901,新北市,15001,大黃魚,94,14165.565
1901,新北市,15001,大黃魚,95,4065.6
1901,新北市,15001,大黃魚,97,11.5
1901,新北市,15002,小黃魚,92,14985.32
1901,新北市,15003,黑(魚或),92,26054.846
1901,新北市,15003,黑(魚或),93,35339
1901,新北市,15003,黑(魚或),94,16813.75
1901,新北市,15003,黑(魚或),95,40646
1901,新北市,15003,黑(魚或),96,37732.45
1901,新北市,15003,黑(魚或),97,15449.85
1901,新北市,15003,黑(魚或),98,6777.9
1901,新北市,15003,黑(魚或),99,8870.7
1901,新北市,15004,白姑魚,92,19150.12
1901,新北市,15004,白姑魚,93,18770
1901,新北市,15004,白姑魚,94,16909.36
1901,新北市,15004,白姑魚,95,7808
1901,新北市,15004,白姑魚,96,6172.1
1901,新北市,15004,白姑魚,97,3568
1901,新北市,15004,白姑魚,98,2712
1901,新北市,15004,白姑魚,99,3326.4
1901,新北市,15005,鮸魚,92,26181.6
1901,新北市,15005,鮸魚,93,14663.25
1901,新北市,15005,鮸魚,94,12160
1901,新北市,15005,鮸魚,95,24525.123
1901,新北市,15005,鮸魚,96,4122
1901,新北市,15005,鮸魚,97,373.86
1901,新北市,15005,鮸魚,98,1864
1901,新北市,15005,鮸魚,99,736.6
1901,新北市,17001,馬頭魚,92,102347.425
1901,新北市,17001,馬頭魚,93,21280.287
1901,新北市,17001,馬頭魚,94,28741.272
1901,新北市,17001,馬頭魚,95,14348.65
1901,新北市,17001,馬頭魚,96,9799.6
1901,新北市,17001,馬頭魚,97,5645.2
1901,新北市,17001,馬頭魚,98,5758.2
1901,新北市,17001,馬頭魚,99,6235
1901,新北市,19002,赤鰭笛鯛,92,60
1901,新北市,19002,赤鰭笛鯛,96,87.5
1901,新北市,1900X,笛鯛類,92,1335.9
1901,新北市,1900X,笛鯛類,93,3154.24
1901,新北市,1900X,笛鯛類,94,4163
1901,新北市,1900X,笛鯛類,95,5812.5
1901,新北市,1900X,笛鯛類,96,5050.5
1901,新北市,1900X,笛鯛類,97,5392.55
1901,新北市,1900X,笛鯛類,98,4567.2
1901,新北市,1900X,笛鯛類,99,5639.6
1901,新北市,22000,鸚哥魚科,92,232.5
1901,新北市,23001,大棘大眼鯛,92,32467.427
1901,新北市,23001,大棘大眼鯛,93,405
1901,新北市,23001,大棘大眼鯛,94,11205.8
1901,新北市,23001,大棘大眼鯛,95,3392
1901,新北市,23001,大棘大眼鯛,96,603
1901,新北市,23001,大棘大眼鯛,97,858.75
1901,新北市,23001,大棘大眼鯛,98,1359.75
1901,新北市,23001,大棘大眼鯛,99,1638.75
1901,新北市,2600X,鱠,92,3061.24
1901,新北市,2600X,鱠,93,2441.25
1901,新北市,2600X,鱠,94,3718.608
1901,新北市,2600X,鱠,95,5413.6
1901,新北市,2600X,鱠,96,25635.45
1901,新北市,2600X,鱠,97,7172.95
1901,新北市,2600X,鱠,98,5042.4
1901,新北市,2600X,鱠,99,4674.9
1901,新北市,30000,鯙科,92,18768.48
1901,新北市,30000,鯙科,93,645.6
1901,新北市,30000,鯙科,94,1005
1901,新北市,30000,鯙科,95,1340
1901,新北市,30000,鯙科,96,1906
1901,新北市,30000,鯙科,97,3132
1901,新北市,30000,鯙科,98,3757.6
1901,新北市,30000,鯙科,99,1700.85
1901,新北市,33001,斑海鯰,92,560
1901,新北市,33001,斑海鯰,93,637
1901,新北市,33001,斑海鯰,95,77
1901,新北市,36006,杜氏鰤,96,17523.15
1901,新北市,36006,杜氏鰤,97,10987.9
1901,新北市,36006,杜氏鰤,98,9325.025
1901,新北市,36006,杜氏鰤,99,12065.75
1901,新北市,37001,鯔,92,6864
1901,新北市,37001,鯔,93,3162.5
1901,新北市,37001,鯔,94,1542
1901,新北市,37001,鯔,95,1680
1901,新北市,37001,鯔,96,707
1901,新北市,37001,鯔,97,311.75
1901,新北市,37001,鯔,98,379.5
1901,新北市,37001,鯔,99,935.2
1901,新北市,38001,銀鯧,92,120024.115
1901,新北市,38001,銀鯧,93,137417.5
1901,新北市,38001,銀鯧,94,134126.798
1901,新北市,38001,銀鯧,95,34290
1901,新北市,38001,銀鯧,96,6011.6
1901,新北市,38001,銀鯧,97,46.45
1901,新北市,38001,銀鯧,98,146.8
1901,新北市,38001,銀鯧,99,332.5
1901,新北市,38002,鐮鯧,92,983.84
1901,新北市,38002,鐮鯧,93,2052
1901,新北市,38002,鐮鯧,94,141.1
1901,新北市,38002,鐮鯧,95,2325
1901,新北市,38099,其他鯧,97,1998
1901,新北市,38099,其他鯧,98,118.4
1901,新北市,39001,刺鯧,92,5350.84
1901,新北市,39001,刺鯧,93,6265.585
1901,新北市,39001,刺鯧,97,0
1901,新北市,41000,飛魚科,92,5609
1901,新北市,41000,飛魚科,93,172036.98
1901,新北市,41000,飛魚科,94,82162.25
1901,新北市,41000,飛魚科,95,22610.49
1901,新北市,41000,飛魚科,96,337.25
1901,新北市,41000,飛魚科,99,335.2
1901,新北市,41001,飛魚卵,99,2679.38
1901,新北市,48000,帶魚屬,92,96511.808
1901,新北市,48000,帶魚屬,93,67211.52
1901,新北市,48000,帶魚屬,94,28247.115
1901,新北市,48000,帶魚屬,95,58918.0893
1901,新北市,48000,帶魚屬,96,25092.25
1901,新北市,48000,帶魚屬,97,59493.875
1901,新北市,48000,帶魚屬,98,49824.68
1901,新北市,48000,帶魚屬,99,36372.875
1901,新北市,51002,小沙丁屬,92,7577.549
1901,新北市,51002,小沙丁屬,93,1257.88
1901,新北市,51002,小沙丁屬,94,560
1901,新北市,51099,其他鯡,92,19.25
1901,新北市,52001,鱙仔,92,10997.565
1901,新北市,52001,鱙仔,93,7065.531
1901,新北市,52001,鱙仔,94,9729.8
1901,新北市,52001,鱙仔,95,5215.125
1901,新北市,52001,鱙仔,96,10325.95
1901,新北市,52001,鱙仔,98,1331.5
1901,新北市,52001,鱙仔,99,752.8
1901,新北市,5300X,鯖,92,112347.27
1901,新北市,5300X,鯖,93,112359.6
1901,新北市,5300X,鯖,94,86388.4
1901,新北市,5300X,鯖,95,84200
1901,新北市,5300X,鯖,96,89050
1901,新北市,5300X,鯖,97,154400
1901,新北市,5300X,鯖,98,167925
1901,新北市,5300X,鯖,99,203117.5
1901,新北市,53101,正鰹,92,207321.945
1901,新北市,53101,正鰹,93,104278.6
1901,新北市,53101,正鰹,94,39976.04
1901,新北市,53101,正鰹,95,96099.84875
1901,新北市,53101,正鰹,96,122151.3
1901,新北市,53101,正鰹,97,47866.825
1901,新北市,53101,正鰹,98,145597.5
1901,新北市,53101,正鰹,99,58317.35
1901,新北市,53103,圓花鰹,93,67.242
1901,新北市,53201,康氏馬加鰆,92,2377.936
1901,新北市,53201,康氏馬加鰆,93,12.4
1901,新北市,53201,康氏馬加鰆,94,114
1901,新北市,53201,康氏馬加鰆,99,232.2
1901,新北市,53202,日本馬加鰆,92,292.24
1901,新北市,53202,日本馬加鰆,94,67.5
1901,新北市,53202,日本馬加鰆,95,262.5
1901,新北市,53202,日本馬加鰆,96,360
1901,新北市,53202,日本馬加鰆,98,962.5
1901,新北市,53202,日本馬加鰆,99,1084.5
1901,新北市,53203,高麗馬加鰆,92,15278.81
1901,新北市,53203,高麗馬加鰆,93,8040
1901,新北市,53203,高麗馬加鰆,94,8680
1901,新北市,53203,高麗馬加鰆,95,8468.75
1901,新北市,53203,高麗馬加鰆,96,20117.5
1901,新北市,53203,高麗馬加鰆,97,22827.5
1901,新北市,53203,高麗馬加鰆,98,7847.49
1901,新北市,53203,高麗馬加鰆,99,11323.2
1901,新北市,53299,其他鰆類,92,16571.34
1901,新北市,53299,其他鰆類,93,7713.8
1901,新北市,53399,其他鮪類,97,1425
1901,新北市,55003,黑皮旗魚,93,360
1901,新北市,55005,雨傘旗魚,92,81.6
1901,新北市,5600Y,鯊條,92,15485.8
1901,新北市,5600Y,鯊條,93,8283.16
1901,新北市,5600Y,鯊條,94,8585.2275
1901,新北市,5600Y,鯊條,95,24895.9391
1901,新北市,5600Y,鯊條,96,8061.4
1901,新北市,5600Y,鯊條,97,3903.2
1901,新北市,5600Y,鯊條,98,4116
1901,新北市,5600Y,鯊條,99,5535
1901,新北市,57000,魟類,92,135
1901,新北市,57000,魟類,93,896.5
1901,新北市,60000,單棘魨科,92,11933.12
1901,新北市,60000,單棘魨科,93,11149.7
1901,新北市,60000,單棘魨科,94,62306.6
1901,新北市,60000,單棘魨科,95,40823.4
1901,新北市,60000,單棘魨科,96,1757.25
1901,新北市,60000,單棘魨科,97,2201.55
1901,新北市,60000,單棘魨科,98,1647.1
1901,新北市,60000,單棘魨科,99,1152.8
1901,新北市,62998,其他淡水魚類,93,1200
1901,新北市,62998,其他淡水魚類,94,600
1901,新北市,62998,其他淡水魚類,96,1056.3
1901,新北市,62998,其他淡水魚類,97,6214.225
1901,新北市,62998,其他淡水魚類,98,5312.29
1901,新北市,62998,其他淡水魚類,99,2606.79
1901,新北市,62999,其他海水魚類,92,446665.828
1901,新北市,62999,其他海水魚類,93,276277
1901,新北市,62999,其他海水魚類,94,369874.773
1901,新北市,62999,其他海水魚類,95,160214.731
1901,新北市,62999,其他海水魚類,96,133397.55
1901,新北市,62999,其他海水魚類,97,117945.05
1901,新北市,62999,其他海水魚類,98,34179.15
1901,新北市,62999,其他海水魚類,99,47941.9
1901,新北市,63001,花枝,94,4531.5
1901,新北市,63001,花枝,95,1412.5
1901,新北市,63001,花枝,96,1842.5
1901,新北市,63001,花枝,97,2126.6
1901,新北市,63001,花枝,98,1404
1901,新北市,63001,花枝,99,1182.6
1901,新北市,63002,烏賊,92,325
1901,新北市,63002,烏賊,93,688.219
1901,新北市,63201,鎖管,92,625146.54
1901,新北市,63201,鎖管,93,1910106.209
1901,新北市,63201,鎖管,94,1151694.171
1901,新北市,63201,鎖管,95,480863.675
1901,新北市,63201,鎖管,96,265330.5
1901,新北市,63201,鎖管,97,162906.25
1901,新北市,63201,鎖管,98,132252.712
1901,新北市,63201,鎖管,99,133182.06
1901,新北市,63301,章魚,92,27.5
1901,新北市,63301,章魚,93,27.5
1901,新北市,64010,凡納對蝦,92,1500
1901,新北市,64100,龍蝦科,92,135291
1901,新北市,64100,龍蝦科,93,11154
1901,新北市,64100,龍蝦科,94,7859
1901,新北市,64100,龍蝦科,95,8954
1901,新北市,64100,龍蝦科,96,4053.5
1901,新北市,64100,龍蝦科,97,4507.6
1901,新北市,64100,龍蝦科,98,5940
1901,新北市,64100,龍蝦科,99,4611.5
1901,新北市,64201,鋸緣青蟹,92,45873.088
1901,新北市,64201,鋸緣青蟹,94,220508.896
1901,新北市,64201,鋸緣青蟹,95,157971.2
1901,新北市,64201,鋸緣青蟹,96,185730
1901,新北市,64201,鋸緣青蟹,97,125874
1901,新北市,64201,鋸緣青蟹,98,38120
1901,新北市,64201,鋸緣青蟹,99,27320
1901,新北市,64202,遠海梭子蟹,92,2610
1901,新北市,64202,遠海梭子蟹,93,3600
1901,新北市,64202,遠海梭子蟹,94,3465
1901,新北市,64202,遠海梭子蟹,95,1080
1901,新北市,64299,其他蟳蟹類,92,1141989
1901,新北市,64299,其他蟳蟹類,93,1173589.168
1901,新北市,64299,其他蟳蟹類,94,324238.75
1901,新北市,64299,其他蟳蟹類,95,51829.61725
1901,新北市,64299,其他蟳蟹類,96,46974.4
1901,新北市,64299,其他蟳蟹類,97,21265
1901,新北市,64299,其他蟳蟹類,98,19561.5
1901,新北市,64299,其他蟳蟹類,99,17887.3
1901,新北市,65001,牡蠣,97,1800
1901,新北市,65006,九孔,92,65400.875
1901,新北市,65006,九孔,93,417625
1901,新北市,65006,九孔,94,32374
1901,新北市,65006,九孔,95,111230.75
1901,新北市,65006,九孔,96,14682.25
1901,新北市,65006,九孔,97,12340.5
1901,新北市,65006,九孔,98,32066.25
1901,新北市,65006,九孔,99,10505.53
1901,新北市,65999,其他貝類,92,7212.5
1901,新北市,65999,其他貝類,93,3729
1901,新北市,65999,其他貝類,94,2792
1901,新北市,65999,其他貝類,95,1691.65
1901,新北市,65999,其他貝類,96,1534.1
1901,新北市,65999,其他貝類,97,1095.6
1901,新北市,65999,其他貝類,98,7057.2
1901,新北市,65999,其他貝類,99,31506.325
1901,新北市,69001,海膽,92,2047.5
1901,新北市,69001,海膽,93,7560
1901,新北市,69001,海膽,94,2851.5
1901,新北市,69001,海膽,95,3110
1901,新北市,69001,海膽,96,3257.5
1901,新北市,69001,海膽,97,2842.5
1901,新北市,69001,海膽,98,1870
1901,新北市,69001,海膽,99,1325.625
1901,新北市,72000,其他水產動物,92,10955
1901,新北市,72000,其他水產動物,93,27089.7
1901,新北市,72000,其他水產動物,94,2775.9
1901,新北市,72000,其他水產動物,95,3063.75
1901,新北市,72000,其他水產動物,96,1030.8
1901,新北市,72000,其他水產動物,97,1186.8
1901,新北市,72000,其他水產動物,98,673.75
1901,新北市,72000,其他水產動物,99,118.5
1901,新北市,73001,長葉紫菜,92,105
1901,新北市,73100,石花菜科,92,43735.8
1901,新北市,73100,石花菜科,93,9067.5
1901,新北市,73100,石花菜科,94,2850
1901,新北市,73100,石花菜科,95,3465
1901,新北市,73100,石花菜科,96,3110.25
1901,新北市,73100,石花菜科,97,2315.5
1901,新北市,73100,石花菜科,98,1489.9
1901,新北市,73100,石花菜科,99,3840.75
1901,新北市,73999,其他藻類,92,500
1901,新北市,73999,其他藻類,94,2337.5
1901,新北市,73999,其他藻類,95,3842.5
1901,新北市,73999,其他藻類,96,3322.5
1901,新北市,73999,其他藻類,97,1267
1901,新北市,73999,其他藻類,98,2418
1901,新北市,73999,其他藻類,99,1892.55
1002,宜蘭縣,01001,吳郭魚類,92,10907.93
1002,宜蘭縣,01001,吳郭魚類,93,8818.05
1002,宜蘭縣,01001,吳郭魚類,94,6533
1002,宜蘭縣,01001,吳郭魚類,95,9306.93
1002,宜蘭縣,01001,吳郭魚類,96,7613.85
1002,宜蘭縣,01001,吳郭魚類,97,6137.9
1002,宜蘭縣,01001,吳郭魚類,98,5365.985
1002,宜蘭縣,01001,吳郭魚類,99,47515.641
1002,宜蘭縣,01001,吳郭魚類,100,45996.8602
1002,宜蘭縣,01001,吳郭魚類,101,8941.23
1002,宜蘭縣,01001,吳郭魚類,102,6371.172
1002,宜蘭縣,01001,吳郭魚類,103,11984.23715
1002,宜蘭縣,01001,吳郭魚類,104,8310.7332
1002,宜蘭縣,01001,吳郭魚類,105,7514.032
1002,宜蘭縣,01001,吳郭魚類,106,9816.222
1002,宜蘭縣,01002,淡水石斑,104,286.08
1002,宜蘭縣,02001,鯉魚,92,132.256
1002,宜蘭縣,02001,鯉魚,93,119.85
1002,宜蘭縣,02001,鯉魚,94,65.925
1002,宜蘭縣,02001,鯉魚,95,97.75
1002,宜蘭縣,02001,鯉魚,97,6.15
1002,宜蘭縣,02001,鯉魚,99,3.71
1002,宜蘭縣,02001,鯉魚,100,13.8
1002,宜蘭縣,02001,鯉魚,101,24.05
1002,宜蘭縣,02001,鯉魚,102,17.55
1002,宜蘭縣,02001,鯉魚,103,1094.85
1002,宜蘭縣,02001,鯉魚,104,1235.79
1002,宜蘭縣,02001,鯉魚,105,1327.7
1002,宜蘭縣,02001,鯉魚,106,1370.175
1002,宜蘭縣,02002,鯽魚,92,55.9
1002,宜蘭縣,02002,鯽魚,93,71.2
1002,宜蘭縣,02002,鯽魚,94,72.6
1002,宜蘭縣,02002,鯽魚,95,57.45
1002,宜蘭縣,02002,鯽魚,97,2.94
1002,宜蘭縣,02002,鯽魚,99,477.301
1002,宜蘭縣,02002,鯽魚,100,140.884
1002,宜蘭縣,02002,鯽魚,101,30.4
1002,宜蘭縣,02002,鯽魚,102,12.65
1002,宜蘭縣,02002,鯽魚,103,14
1002,宜蘭縣,02002,鯽魚,104,17.85
1002,宜蘭縣,02002,鯽魚,105,11.05
1002,宜蘭縣,02002,鯽魚,106,18.7
1002,宜蘭縣,02003,草魚,92,41.96
1002,宜蘭縣,02003,草魚,93,63.36
1002,宜蘭縣,02003,草魚,94,20.115
1002,宜蘭縣,02003,草魚,95,53.38
1002,宜蘭縣,02003,草魚,96,3.1404
1002,宜蘭縣,02003,草魚,97,0
1002,宜蘭縣,02003,草魚,101,2
1002,宜蘭縣,02003,草魚,102,2.5
1002,宜蘭縣,02003,草魚,103,2.5
1002,宜蘭縣,02003,草魚,104,2.5
1002,宜蘭縣,02004,青魚,92,27
1002,宜蘭縣,02004,青魚,93,90
1002,宜蘭縣,02004,青魚,95,100
1002,宜蘭縣,02004,青魚,97,202.5
1002,宜蘭縣,02006,白鰱,104,15.12
1002,宜蘭縣,02007,鯁魚,101,3.46085
1002,宜蘭縣,02007,鯁魚,103,12.4965
1002,宜蘭縣,03001,日本鰻鱺,92,1819.68
1002,宜蘭縣,03001,日本鰻鱺,93,1794.6
1002,宜蘭縣,03001,日本鰻鱺,94,1080
1002,宜蘭縣,03001,日本鰻鱺,95,150
1002,宜蘭縣,03001,日本鰻鱺,97,0
1002,宜蘭縣,03001,日本鰻鱺,101,0.26
1002,宜蘭縣,03001,日本鰻鱺,103,0.294
1002,宜蘭縣,03002,花鰻鱺,104,1220.1
1002,宜蘭縣,03002,花鰻鱺,105,9770.6
1002,宜蘭縣,03099,其他鰻,105,382.5
1002,宜蘭縣,04001,淡水鯰,92,19.2
1002,宜蘭縣,04001,淡水鯰,93,4135.85
1002,宜蘭縣,04001,淡水鯰,94,336.2
1002,宜蘭縣,04001,淡水鯰,95,455.112
1002,宜蘭縣,04001,淡水鯰,96,365.63
1002,宜蘭縣,04001,淡水鯰,97,729.92
1002,宜蘭縣,04001,淡水鯰,98,349.277
1002,宜蘭縣,04001,淡水鯰,99,3492.544
1002,宜蘭縣,04001,淡水鯰,100,1026.131
1002,宜蘭縣,04001,淡水鯰,101,175.104
1002,宜蘭縣,04001,淡水鯰,104,819.68
1002,宜蘭縣,04001,淡水鯰,105,112.251
1002,宜蘭縣,04001,淡水鯰,106,328.608
1002,宜蘭縣,05001,大口黑鱸,102,622.5
1002,宜蘭縣,05001,大口黑鱸,103,8006.25
1002,宜蘭縣,05001,大口黑鱸,104,172.5
1002,宜蘭縣,05001,大口黑鱸,105,18420
1002,宜蘭縣,05001,大口黑鱸,106,779
1002,宜蘭縣,05002,日本花鱸,103,965.28
1002,宜蘭縣,05002,日本花鱸,104,7491.836
1002,宜蘭縣,05002,日本花鱸,105,9208.48
1002,宜蘭縣,05002,日本花鱸,106,3524
1002,宜蘭縣,05003,紅眼沙鱸,102,1.44
1002,宜蘭縣,05004,尖吻鱸,103,48
1002,宜蘭縣,05004,尖吻鱸,104,230.4
1002,宜蘭縣,05004,尖吻鱸,105,1034
1002,宜蘭縣,0500X,鱸魚,92,752.934
1002,宜蘭縣,0500X,鱸魚,93,3112.81
1002,宜蘭縣,0500X,鱸魚,94,0
1002,宜蘭縣,0500X,鱸魚,95,3887.388
1002,宜蘭縣,0500X,鱸魚,96,5230.01976
1002,宜蘭縣,0500X,鱸魚,97,31188.9
1002,宜蘭縣,0500X,鱸魚,98,9918.664
1002,宜蘭縣,0500X,鱸魚,99,12212.867
1002,宜蘭縣,0500X,鱸魚,100,11070.63
1002,宜蘭縣,0500X,鱸魚,101,56422.37
1002,宜蘭縣,0500X,鱸魚,102,34252.96
1002,宜蘭縣,05099,其他鱸魚,99,7350
1002,宜蘭縣,05099,其他鱸魚,101,2.655
1002,宜蘭縣,05099,其他鱸魚,102,1162.5
1002,宜蘭縣,05099,其他鱸魚,103,4072.446
1002,宜蘭縣,05099,其他鱸魚,104,1172.7
1002,宜蘭縣,05099,其他鱸魚,106,1188
1002,宜蘭縣,07001,錦鯉與金魚,99,33336.2264
1002,宜蘭縣,07001,錦鯉與金魚,100,7543.05718
1002,宜蘭縣,07001,錦鯉與金魚,101,8775.97406
1002,宜蘭縣,07001,錦鯉與金魚,102,6517.88676
1002,宜蘭縣,07001,錦鯉與金魚,103,5815
1002,宜蘭縣,07001,錦鯉與金魚,104,12831
1002,宜蘭縣,07001,錦鯉與金魚,105,8301
1002,宜蘭縣,07001,錦鯉與金魚,106,5905
1002,宜蘭縣,0700X,觀賞魚,98,1500
1002,宜蘭縣,07099,其他觀賞魚,99,19588.14182
1002,宜蘭縣,07099,其他觀賞魚,100,12263.95378
1002,宜蘭縣,07099,其他觀賞魚,101,9878.99475
1002,宜蘭縣,07099,其他觀賞魚,102,10279.78265
1002,宜蘭縣,07099,其他觀賞魚,103,10191
1002,宜蘭縣,07099,其他觀賞魚,104,12008
1002,宜蘭縣,07099,其他觀賞魚,105,13005.5
1002,宜蘭縣,07099,其他觀賞魚,106,19084.5
1002,宜蘭縣,09001,香魚,92,121840.905
1002,宜蘭縣,09001,香魚,93,102696.3
1002,宜蘭縣,09001,香魚,94,113922.5
1002,宜蘭縣,09001,香魚,95,89976
1002,宜蘭縣,09001,香魚,96,81685
1002,宜蘭縣,09001,香魚,97,104842
1002,宜蘭縣,09001,香魚,98,105170
1002,宜蘭縣,09001,香魚,99,121970
1002,宜蘭縣,09001,香魚,100,169998
1002,宜蘭縣,09001,香魚,101,175653.536
1002,宜蘭縣,09001,香魚,102,174837.36
1002,宜蘭縣,09001,香魚,103,239652
1002,宜蘭縣,09001,香魚,104,146466.5
1002,宜蘭縣,09001,香魚,105,163542.5
1002,宜蘭縣,09001,香魚,106,564578.5
1002,宜蘭縣,10001,虱目魚,92,10550.356
1002,宜蘭縣,10001,虱目魚,93,7397.459
1002,宜蘭縣,10001,虱目魚,94,4589.08
1002,宜蘭縣,10001,虱目魚,95,4770.835
1002,宜蘭縣,10001,虱目魚,96,5225.162
1002,宜蘭縣,10001,虱目魚,97,1314.184
1002,宜蘭縣,10001,虱目魚,98,1267.336
1002,宜蘭縣,10001,虱目魚,99,1927.572
1002,宜蘭縣,10001,虱目魚,100,6292.308
1002,宜蘭縣,10001,虱目魚,101,5500.581
1002,宜蘭縣,10001,虱目魚,102,4691.93099
1002,宜蘭縣,10001,虱目魚,103,7308.191
1002,宜蘭縣,10001,虱目魚,104,4260.756
1002,宜蘭縣,10001,虱目魚,105,4112.511
1002,宜蘭縣,10001,虱目魚,106,3500
1002,宜蘭縣,12001,真鯛,99,4.224
1002,宜蘭縣,12001,真鯛,103,21.84
1002,宜蘭縣,12001,真鯛,104,18.69
1002,宜蘭縣,12001,真鯛,105,26.2425
1002,宜蘭縣,12002,黃背牙鯛,92,7050
1002,宜蘭縣,12002,黃背牙鯛,93,7989
1002,宜蘭縣,12002,黃背牙鯛,94,6163.672
1002,宜蘭縣,12002,黃背牙鯛,95,6395.052
1002,宜蘭縣,12002,黃背牙鯛,96,9663.4042
1002,宜蘭縣,12002,黃背牙鯛,97,6511.375
1002,宜蘭縣,12002,黃背牙鯛,98,35714.1452
1002,宜蘭縣,12002,黃背牙鯛,99,10644.6344
1002,宜蘭縣,12002,黃背牙鯛,100,9732.793
1002,宜蘭縣,12002,黃背牙鯛,101,10356.0505
1002,宜蘭縣,12002,黃背牙鯛,102,8726.832
1002,宜蘭縣,12002,黃背牙鯛,103,7672.97
1002,宜蘭縣,12002,黃背牙鯛,104,6829.626
1002,宜蘭縣,12002,黃背牙鯛,105,13093.698
1002,宜蘭縣,12002,黃背牙鯛,106,5337.514
1002,宜蘭縣,12004,黑棘鯛,95,24.6
1002,宜蘭縣,12004,黑棘鯛,101,24.625
1002,宜蘭縣,12004,黑棘鯛,102,46.93356
1002,宜蘭縣,12004,黑棘鯛,103,24.29
1002,宜蘭縣,12004,黑棘鯛,104,19
1002,宜蘭縣,12004,黑棘鯛,105,13.12
1002,宜蘭縣,12005,平鯛,103,34.364
1002,宜蘭縣,12005,平鯛,104,21.45
1002,宜蘭縣,12005,平鯛,105,17.721
1002,宜蘭縣,12005,平鯛,106,1687.2
1002,宜蘭縣,12006,黃鰭棘鯛,103,12
1002,宜蘭縣,12006,黃鰭棘鯛,104,13.825
1002,宜蘭縣,12006,黃鰭棘鯛,105,20.031
1002,宜蘭縣,12099,其他鯛,92,692.3
1002,宜蘭縣,12099,其他鯛,93,2084.8213
1002,宜蘭縣,12099,其他鯛,94,1385.098
1002,宜蘭縣,12099,其他鯛,95,5329.098
1002,宜蘭縣,12099,其他鯛,96,5732.361
1002,宜蘭縣,12099,其他鯛,97,1446.354
1002,宜蘭縣,12099,其他鯛,98,8345.088
1002,宜蘭縣,12099,其他鯛,99,6415.2888
1002,宜蘭縣,12099,其他鯛,100,3671.3026
1002,宜蘭縣,12099,其他鯛,101,4725.7415
1002,宜蘭縣,12099,其他鯛,102,4270.44061
1002,宜蘭縣,12099,其他鯛,103,1081.01283
1002,宜蘭縣,12099,其他鯛,104,1189.182
1002,宜蘭縣,12099,其他鯛,105,1789.4
1002,宜蘭縣,12099,其他鯛,106,545.11
1002,宜蘭縣,13001,斑石鯛,104,51.775
1002,宜蘭縣,13001,斑石鯛,105,49.78
1002,宜蘭縣,15001,大黃魚,103,7.65
1002,宜蘭縣,15001,大黃魚,104,38.2
1002,宜蘭縣,15001,大黃魚,105,0.25
1002,宜蘭縣,15002,小黃魚,105,0.1805
1002,宜蘭縣,15003,黑(魚或),92,10255.5
1002,宜蘭縣,15003,黑(魚或),93,6256
1002,宜蘭縣,15003,黑(魚或),94,11690.89
1002,宜蘭縣,15003,黑(魚或),95,9640.74
